alpha,beta,total_ord_inf,total_mis_inf,total
0.5,0.1,0.004830075835635634,0.013378931932874264,0.018209007768509897
0.55,0.1,0.005563801192830512,0.01712302566197815,0.02268682685480866
0.6000000000000001,0.1,0.006610930629131867,0.023007918971345458,0.029618849600477323
0.6500000000000001,0.1,0.008114969789924173,0.032558735177188616,0.04067370496711279
0.7000000000000002,0.1,0.01022841869153961,0.048250930219767764,0.05847934891130738
0.7500000000000002,0.1,0.012972225866913033,0.07334813458845817,0.0863203604553712
0.8000000000000003,0.1,0.01590382447987752,0.11011664729376773,0.12602047177364525
0.8500000000000003,0.1,0.017770532773157446,0.15631894299009835,0.17408947576325579
0.9000000000000004,0.1,0.01676305202972016,0.20455499176889505,0.22131804379861522
0.9500000000000004,0.1,0.011415566574734047,0.24775844190332041,0.25917400847805444
1.0000000000000004,0.1,0.0009985009900318057,0.28367714927847226,0.28467565026850405
0.5,0.11,0.012537548767066871,0.03575456877294469,0.04829211754001156
0.55,0.11,0.015269442884352839,0.047984194181072866,0.06325363706542571
0.6000000000000001,0.11,0.018951201277044673,0.06628983234264361,0.0852410336196883
0.6500000000000001,0.11,0.02363514736361987,0.09281367641632751,0.11644882377994738
0.7000000000000002,0.11,0.028902581997220445,0.1283606270782998,0.15726320907552024
0.7500000000000002,0.11,0.033573925412768754,0.17041286908453865,0.2039867944973074
0.8000000000000003,0.11,0.0359299874948961,0.21335277244987338,0.24928275994476948
0.8500000000000003,0.11,0.034491179778813635,0.25204337681948585,0.2865345565982995
0.9000000000000004,0.11,0.028494258851012116,0.28466184752209767,0.31315610637310975
0.9500000000000004,0.11,0.017575182765076074,0.31205883701067727,0.32963401977575335
1.0000000000000004,0.11,0.0011088738693059504,0.3358798753660596,0.3369887492353656
0.5,0.12,0.03376567925707634,0.09383045137949293,0.12759613063656927
0.55,0.12,0.04012881075570521,0.12037341518077567,0.1605022259364809
0.6000000000000001,0.12,0.047013378042994415,0.1527886311981878,0.19980200924118222
0.6500000000000001,0.12,0.05340235720888733,0.18893526796038368,0.24233762516927101
0.7000000000000002,0.12,0.05792779168042684,0.22524935747445057,0.2831771491548774
0.7500000000000002,0.12,0.05936621575547941,0.2585017770489385,0.3178679928044179
0.8000000000000003,0.12,0.05700559025125004,0.28726319530663363,0.34426878555788365
0.8500000000000003,0.12,0.05055164909170879,0.3118344157700847,0.3623860648617935
0.9000000000000004,0.12,0.03972901569671382,0.3332883812525363,0.3730173969492501
0.9500000000000004,0.12,0.023840732194726415,0.352703365076048,0.3765440972707744
1.0000000000000004,0.12,0.001246476893386056,0.3708974315996135,0.3721439084929996
0.5,0.13,0.07203322185051905,0.18602677424623867,0.2580599960967577
0.55,0.13,0.07858441591148815,0.21507486762800246,0.2936592835394906
0.6000000000000001,0.13,0.08359990368313726,0.24382173285551426,0.32742163653865153
0.6500000000000001,0.13,0.0862760164942039,0.27060971678841117,0.3568857332826151
0.7000000000000002,0.13,0.0860726598061218,0.2945447474449118,0.38061740725103366
0.7500000000000002,0.13,0.08271663117939927,0.31559014260767615,0.3983067737870754
0.8000000000000003,0.13,0.07603730306114745,0.33425590631027147,0.4102932093714189
0.8500000000000003,0.13,0.06573273761887491,0.3512098586260782,0.4169425962449531
0.9000000000000004,0.13,0.05111277949171538,0.36703763282460167,0.41815041231631705
0.9500000000000004,0.13,0.030719525148421207,0.38218068075362094,0.41290020590204213
1.0000000000000004,0.13,0.0014225344154978254,0.3969969824529223,0.39841951686842014
0.5,0.13999999999999999,0.1133197366108734,0.2688429975061455,0.3821627341170189
0.55,0.13999999999999999,0.11570752804476854,0.2889079152238367,0.4046154432686052
0.6000000000000001,0.13999999999999999,0.11612254687461203,0.3074589843010341,0.4235815311756461
0.6500000000000001,0.13999999999999999,0.11433893940907243,0.32437692219363806,0.4387158616027105
0.7000000000000002,0.13999999999999999,0.11019595862915749,0.3398097647896717,0.45000572341882916
0.7500000000000002,0.13999999999999999,0.10350892790368647,0.35405345903467733,0.4575623869383638
0.8000000000000003,0.13999999999999999,0.0939532604075081,0.36743319633124516,0.4613864567387532
0.8500000000000003,0.13999999999999999,0.08091381576062542,0.38023056708378034,0.46114438284440573
0.9000000000000004,0.13999999999999999,0.06322885606621458,0.3926654748340785,0.4558943309002931
0.9500000000000004,0.13999999999999999,0.03858913931135254,0.4049245273714283,0.44351366668278086
1.0000000000000004,0.13999999999999999,0.0016549892922552054,0.4172465854429593,0.4189015747352145
0.5,0.14999999999999997,0.14706780177620435,0.3247846125823221,0.47185241435852643
0.55,0.14999999999999997,0.14570267375342658,0.33757459250234534,0.48327726625577194
0.6000000000000001,0.14999999999999997,0.14279201313815298,0.34964397911805206,0.49243599225620505
0.6500000000000001,0.14999999999999997,0.13818429411696254,0.3610723906796823,0.4992566847966448
0.7000000000000002,0.14999999999999997,0.13167896636567186,0.3719825624603907,0.5036615288260625
0.7500000000000002,0.14999999999999997,0.12296686886933707,0.38250728828970815,0.5054741571590452
0.8000000000000003,0.14999999999999997,0.11154051382123763,0.3927664877894803,0.504307001610718
0.8500000000000003,0.14999999999999997,0.09653353581491753,0.40285957914153253,0.49939311495645006
0.9000000000000004,0.14999999999999997,0.07636561589242413,0.4128746578625028,0.48924027375492696
0.9500000000000004,0.14999999999999997,0.047756741360886694,0.4229213011030408,0.4706780424639275
1.0000000000000004,0.14999999999999997,0.0019737369801706346,0.4332347340986866,0.43520847107885724
0.5,0.15999999999999998,0.17396303422317097,0.3624283367061821,0.5363913709293531
0.55,0.15999999999999998,0.17043166085324676,0.37123932148312094,0.5416709823363677
0.6000000000000001,0.15999999999999998,0.16567388261902677,0.3798303155690589,0.5455041981880857
0.6500000000000001,0.15999999999999998,0.15950188290208103,0.3882398884432895,0.5477417713453705
0.7000000000000002,0.15999999999999998,0.15165023391129265,0.39651285754904003,0.5481630914603327
0.7500000000000002,0.15999999999999998,0.14172242199466353,0.4046933040882874,0.546415726082951
0.8000000000000003,0.15999999999999998,0.1290951677012243,0.412821258328871,0.5419164260300953
